v1	v2	v3	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	v14	v15	v16	v17	v18	v19	v20	v21	v22	v23	v24	v25	v26	v27	v28	v29	v30	v31	v32	v33	v34	v35	v36	v37	v38	v39	v40	v41	v42	v43	v44	v45	v46	v47	v48	v49	v50	v51	v52	v53	v54	v55	v56	v57	v58	v59	v60	v61	v62	v63	v64	v65	v66	v67	v68	v69	v70	v71	v72	v73	v74	v75	v76	v77	v78	v79	v80	v81	v82	v83	v84	v85	v86	v87	v88	v89	v90	v91	v92	v93	v94	v95	v96	v97	v98	v99	v100	v101	v102	v103	v104	v105	v106	v107	v108	v109	v110	v111	v112	v113	v114	v115	v116	v117	v118	v119	v120	v121	v122	v123	v124	v125	v126	v127	v128	v129	v130	v131	v132	v133	v134	v135	v136	v137	v138	v139	v140	v141	v142	v143	v144	v145
DEU	2760000	DEU9797	1	27600	1	1	1	2	2	5	4	9	9	1	7	9	9	1	7	9	3	3	2	4	3	3	3	3	1	1	2	2	2	2	2	2	2	1	2	1	3	3	3	2	3	1	1	3	3	3	3	5	5	5	4	5	5	5	1	1	1	1	2	2	2	2	2	2	9	7	1	2	2	2	2	2	1	1	1	1	1	1	9998	9998	27600	0	0	0	0	0	0	0	0	0	0	0	0	27600	0	0	0	0	0	0	0	0	0	0	0	0	9	9	5223	7114	9999	0.3150	22.387	21.96	28.48	1	1	27600	27600	27600	27600	27600	27600	1	3	3	28.48	1	1	999	999	-12.159	12.956	3	99.00	-18.317	.32229999	28	NOV	13
DEU	2760000	DEU9797	1	27600	1	3	1	2	2	5	5	2	1	2	7	2	2	2	7	9	2	2	2	2	3	2	3	2	1	1	2	2	2	2	2	2	1	2	2	3	3	3	3	2	3	3	3	2	3	3	4	4	5	5	2	3	2	3	1	1	1	1	2	2	2	2	2	9	2	7	1	2	2	2	2	2	1	1	1	1	1	1	9998	9998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5311	3315	9999	0.3150	-0.1412	57.68	24.98	9	9	27600	27600	27600	27600	27600	27600	1	2	2	57.68	1	1	148	148	-12.159	12.956	0	99.00	-0.8397	.32229999	28	NOV	13
DEU	2760000	DEU9797	1	27600	1	8	1	2	2	4	4	2	2	2	7	2	2	2	7	9	1	3	2	3	3	3	3	3	1	2	2	2	2	2	2	2	2	2	2	3	4	2	3	1	1	1	2	3	4	3	3	3	5	5	2	3	2	3	1	1	1	1	2	2	2	2	2	1	1	7	1	2	2	2	2	2	1	1	1	1	1	1	9998	9998	27600	0	0	0	0	0	0	0	0	0	0	0	0	27600	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3359	4311	9704	-0.6314	-0.3004	50.37	64.40	1	1	27600	27600	27600	27600	27600	27600	1	0	0	64.40	1	1	148	148	-12.159	12.956	0	99.00	-16.570	.32229999	28	NOV	13
DEU	2760000	DEU9797	1	27600	1	14	1	2	2	4	4	9	9	9	7	9	9	1	7	9	4	2	2	2	4	2	3	2	1	1	2	1	2	1	2	2	1	1	1	3	1	3	4	1	2	1	1	4	4	4	4	5	5	5	5	5	3	3	1	1	1	1	1	1	2	2	2	2	1	7	1	1	2	1	1	2	1	2	2	2	2	2	21	9998	0	30000	0	0	0	0	0	0	0	0	0	0	0	0	30000	0	0	0	0	0	0	0	0	0	0	0	8	8	4311	5100	9999	19.195	10.539	27.57	50.37	3	3	30000	27600	30000	30000	30000	30000	5	9	3	50.37	3	2	998	998	0.0485	12.956	3	99.00	-10.793	.32229999	28	NOV	13
DEU	2760000	DEU9797	1	27600	1	15	1	2	2	4	5	1	2	2	7	1	2	1	7	6	5	4	2	3	2	4	4	4	1	2	2	2	2	2	2	2	1	2	2	3	3	4	4	1	2	1	1	1	4	3	4	5	5	5	1	4	1	1	2	2	2	2	1	2	2	2	2	1	1	7	1	1	2	2	2	2	1	1	1	1	1	1	9998	9998	27600	0	0	0	0	0	0	0	0	0	0	0	0	27600	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2210	2261	9704	-0.1254	-0.4659	88.31	88.70	1	1	27600	27600	27600	27600	27600	27600	2	1	3	88.70	1	1	148	148	-0.4243	-0.4255	3	99.00	-21.813	.35080001	28	NOV	13
DEU	2760000	DEU9797	1	27600	1	16	2	1	2	3	3	2	1	2	7	2	2	2	7	3	3	2	3	3	2	3	3	3	1	2	2	2	2	2	2	2	1	2	2	3	4	4	4	1	3	1	1	1	4	4	4	5	5	5	1	5	3	5	1	1	1	1	2	1	2	2	2	2	1	7	1	2	1	2	1	2	1	1	1	1	1	1	9998	9998	27600	0	0	0	0	0	0	0	0	0	0	0	0	27600	0	0	0	0	0	0	0	0	0	0	0	0	1	1	5223	5411	9999	-0.1254	0.6460	46.38	28.48	1	1	27600	27600	27600	27600	27600	27600	5	2	2	46.38	1	1	148	148	-0.4243	12.956	0	99.00	-14.771	.32229999	28	NOV	13
DEU	2760000	DEU9797	1	27600	1	17	1	2	2	3	3	2	2	2	7	2	2	1	7	5	3	2	2	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	3	3	3	2	1	1	1	1	1	3	3	3	4	5	5	4	4	3	3	1	2	1	1	2	2	2	2	2	1	1	7	1	2	2	1	2	2	1	1	1	1	1	1	9998	9998	27600	0	0	0	0	0	0	0	0	0	0	0	0	27600	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3352	7231	9705	-14.809	0.4764	30.78	67.11	1	1	27600	27600	27600	27600	27600	27600	4	0	3	67.11	1	1	148	148	-12.159	0.7791	3	99.00	-14.771	.32229999	28	NOV	13
DEU	2760000	DEU9797	1	27600	1	21	1	2	2	9	2	2	2	2	7	2	2	2	7	6	3	3	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	3	4	3	3	2	1	1	3	1	3	4	4	4	5	5	3	3	1	2	2	3	2	2	1	1	2	2	2	1	2	7	1	1	2	2	2	2	1	1	1	1	1	1	9999	9998	27600	0	0	0	0	0	0	0	0	0	0	0	0	27600	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4311	5163	9704	-0.1254	-0.3004	34.25	50.37	1	1	27600	27600	27600	27600	27600	27600	2	0	0	50.37	1	1	148	148	0.0485	-0.9553	0	99.00	-0.5360	.32229999	28	NOV	13
DEU	2760000	DEU9797	1	27600	1	22	2	1	2	4	3	9	1	1	7	9	1	9	7	9	4	9	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	9	3	4	3	2	9	3	2	9	3	3	4	3	4	5	2	3	2	2	1	1	2	1	2	1	2	2	2	1	1	7	1	1	2	1	1	2	1	1	1	1	1	1	9998	9998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	9701	4322	9999	-0.1254	-0.6372	41.63	99.00	9	9	27600	27600	27600	27600	27600	27600	5	3	3	41.63	1	1	999	999	-0.4243	0.7791	2	99.00	-0.0738	.35080001	28	NOV	13
DEU	2760000	DEU9797	1	27600	2	27	1	2	2	4	2	1	1	1	7	1	9	9	7	9	4	2	1	3	3	3	3	3	2	2	2	1	2	2	2	2	2	2	2	3	3	4	2	1	1	1	1	1	1	3	3	5	5	5	1	3	2	1	2	2	2	2	1	2	2	2	2	1	1	7	2	2	2	2	2	2	2	2	2	2	2	2	22	20	27600	0	0	0	0	0	0	0	0	0	0	0	0	27600	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2166	3323	9999	-0.6314	-0.4659	56.35	79.74	1	1	68800	68800	68800	68800	68800	68800	9	3	3	79.74	3	3	317	317	-0.4243	-0.4255	1	99.00	-12.871	.3452	28	NOV	13
